category,filepath
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage100.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage103.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage107.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage108.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage10.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage111.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage113.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage114.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage115.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage116.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage118.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage11.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage120.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage12.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage13.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage14.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage15.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage16.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage175.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage176.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage178.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage17.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage183.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage184.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage185.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage186.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage18.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage190.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage191.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage193.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage195.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage197.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage19.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage1.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage202.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage203.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage205.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage208.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage209.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage20.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage212.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage214.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage216.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage219.jpg
ants,/home/eyan/Desktop/bug_bite/web_scraping/useful/ants/antsimage274.jpg
